rebalance_date,ticker,eligible_flag,inclusion_reason,exclusion_reason,listing_status,market_cap,adv_30d,filing_available_flag,latest_filing_used,latest_filing_date,latest_filing_accepted_datetime,sector,basin,delisting_return_applied
2023-06-30,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-06-30,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,PR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-09-30,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,PR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2023-12-31,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,PR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-03-31,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,PR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-06-30,PXD,False,,Delisted 2024-05-03,Delisted,,,False,,,,Energy,Permian,0.0
2024-06-30,CPE,False,,Delisted 2024-04-01,Delisted,,,False,,,,Energy,Permian,0.0
2024-09-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,PR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-09-30,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-12-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2024-12-31,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
