ticker,quarter,caligula_score,rank,tier
MTDR,2023-03-31,0.5159432234432234,5.0,C
CRGY,2023-03-31,0.5060474525474524,6.0,C
VTLE,2023-03-31,0.5034998334998335,7.0,C
CPE,2023-03-31,0.5010647685647686,8.0,C
CIVI,2023-03-31,0.47829936729936734,9.0,C
SM,2023-03-31,0.47184667713239137,10.0,C
OVV,2023-03-31,0.4708494283494284,11.0,C
PXD,2023-03-31,0.47054745254745256,12.0,C
PR,2023-03-31,0.39289183039183045,13.0,D
EOG,2023-06-30,0.6305244755244753,1.0,B
OVV,2023-06-30,0.5970521145521146,2.0,B
CTRA,2023-06-30,0.5822035187035187,3.0,B
FANG,2023-06-30,0.5321173271173272,4.0,C
CIVI,2023-06-30,0.5318095238095238,5.0,C
VTLE,2023-06-30,0.5313514818514818,6.0,C
APA,2023-06-30,0.5296434121434122,7.0,C
CPE,2023-06-30,0.5161929736929737,8.0,C
PXD,2023-06-30,0.4912947052947053,9.0,C
SM,2023-06-30,0.4736713762428048,10.0,C
CRGY,2023-06-30,0.4487992007992008,11.0,C
MTDR,2023-06-30,0.4358599733599734,12.0,C
PR,2023-06-30,0.3736274836274836,13.0,D
EOG,2023-09-30,0.5745140970140971,1.0,B
FANG,2023-09-30,0.5722516372516373,2.0,B
VTLE,2023-09-30,0.5610437895437895,3.0,B
OVV,2023-09-30,0.5407098457098458,4.0,C
CTRA,2023-09-30,0.5406009546009546,5.0,C
SM,2023-09-30,0.5250180533751962,6.0,C
CPE,2023-09-30,0.5241929736929738,7.0,C
MTDR,2023-09-30,0.5213880563880564,8.0,C
CIVI,2023-09-30,0.4938669663669664,9.0,C
APA,2023-09-30,0.4784773559773559,10.0,C
PR,2023-09-30,0.4501076701076701,11.0,C
PXD,2023-09-30,0.44038361638361634,12.0,C
CRGY,2023-09-30,0.3555144855144855,13.0,D
CTRA,2023-12-31,0.656942834942835,1.0,B
VTLE,2023-12-31,0.5814750249750249,2.0,B
FANG,2023-12-31,0.54998667998668,3.0,
EOG,2023-12-31,0.5319072594072594,4.0,C
SM,2023-12-31,0.5190546834118263,5.0,C
APA,2023-12-31,0.5166450216450217,6.0,C
CRGY,2023-12-31,0.513061494061494,7.0,C
OVV,2023-12-31,0.500929625929626,8.0,C
CPE,2023-12-31,0.4892955377955378,9.0,C
PXD,2023-12-31,0.46084515484515487,10.0,C
CIVI,2023-12-31,0.4597737262737263,11.0,C
PR,2023-12-31,0.4593850593850594,12.0,C
MTDR,2023-12-31,0.4149725274725274,13.0,C
VTLE,2024-03-31,0.5983331668331666,1.0,B
SM,2024-03-31,0.5928570556427699,2.0,B
CTRA,2024-03-31,0.568957486957487,3.0,B
FANG,2024-03-31,0.5617876567876567,4.0,B
APA,2024-03-31,0.5561605061605062,5.0,B
OVV,2024-03-31,0.5417316017316017,6.0,C
EOG,2024-03-31,0.5298742923742923,7.0,C
CPE,2024-03-31,0.5200647685647687,8.0,C
CIVI,2024-03-31,0.5064137529137529,9.0,C
PR,2024-03-31,0.449973914973915,10.0,C
MTDR,2024-03-31,0.42872932622932625,11.0,C
PXD,2024-03-31,0.41224975024975025,12.0,C
CRGY,2024-03-31,0.3978136308136308,13.0,D
EOG,2024-06-30,0.6127633477633476,1.0,B
VTLE,2024-06-30,0.6111428571428571,2.0,B
CTRA,2024-06-30,0.5910505050505052,3.0,B
CIVI,2024-06-30,0.5318759018759018,4.0,C
PR,2024-06-30,0.5226308539944903,5.0,C
APA,2024-06-30,0.5199494949494949,6.0,C
FANG,2024-06-30,0.5012842712842713,7.0,C
OVV,2024-06-30,0.48796536796536794,8.0,C
SM,2024-06-30,0.47532199546485265,9.0,C
MTDR,2024-06-30,0.4503102453102453,10.0,C
CRGY,2024-06-30,0.3486695526695527,11.0,D
EOG,2024-09-30,0.6404184704184703,1.0,B
CTRA,2024-09-30,0.597050505050505,2.0,B
APA,2024-09-30,0.5508513708513708,3.0,B
FANG,2024-09-30,0.5280014430014429,4.0,C
OVV,2024-09-30,0.5137806637806638,5.0,C
CIVI,2024-09-30,0.4877041847041847,6.0,C
PR,2024-09-30,0.4843913157549521,7.0,C
CRGY,2024-09-30,0.48087157287157284,8.0,C
SM,2024-09-30,0.46804638218923933,9.0,C
VTLE,2024-09-30,0.4581428571428571,10.0,C
MTDR,2024-09-30,0.423008658008658,11.0,C
CTRA,2024-12-31,0.6783535353535354,1.0,B
VTLE,2024-12-31,0.6485974025974026,2.0,B
EOG,2024-12-31,0.5711688311688312,3.0,B
APA,2024-12-31,0.5649567099567101,4.0,B
CIVI,2024-12-31,0.5576031746031745,5.0,B
OVV,2024-12-31,0.49406204906204904,6.0,C
SM,2024-12-31,0.4813696145124717,7.0,C
FANG,2024-12-31,0.4528210678210678,8.0,C
MTDR,2024-12-31,0.44873015873015876,9.0,C
PR,2024-12-31,0.4440161353797717,10.0,C
CRGY,2024-12-31,0.32355844155844155,11.0,D
EOG,2025-03-31,0.6031601731601731,1.0,B
CTRA,2025-03-31,0.5978484848484849,2.0,B
APA,2025-03-31,0.5977128427128426,3.0,B
CIVI,2025-03-31,0.5939668109668109,4.0,B
OVV,2025-03-31,0.5716522366522366,5.0,B
VTLE,2025-03-31,0.5125064935064935,6.0,C
MTDR,2025-03-31,0.4934632034632034,7.0,C
FANG,2025-03-31,0.4914285714285714,8.0,C
SM,2025-03-31,0.441291280148423,9.0,C
PR,2025-03-31,0.39409746818837726,10.0,D
CRGY,2025-03-31,0.3899408369408369,11.0,D
APA,2025-06-30,0.5915367965367966,1.0,B
EOG,2025-06-30,0.5724386724386725,2.0,B
MTDR,2025-06-30,0.5724314574314575,3.0,B
OVV,2025-06-30,0.5546320346320346,4.0,B
CTRA,2025-06-30,0.5343419913419913,5.0,C
CIVI,2025-06-30,0.5126681096681096,6.0,C
FANG,2025-06-30,0.5091919191919192,7.0,C
VTLE,2025-06-30,0.5074805194805194,8.0,C
SM,2025-06-30,0.46414883529169254,9.0,C
PR,2025-06-30,0.443743932834842,10.0,C
CRGY,2025-06-30,0.3821038961038961,11.0,D
CTRA,2025-09-30,0.6788427128427129,1.0,B
