ticker,quarter,rank,tier
SM,2025-03-31,9.0,C
PR,2025-03-31,10.0,D
CRGY,2025-03-31,11.0,D
APA,2025-06-30,1.0,B
EOG,2025-06-30,2.0,B
MTDR,2025-06-30,3.0,B
OVV,2025-06-30,4.0,B
CTRA,2025-06-30,5.0,C
CIVI,2025-06-30,6.0,C
FANG,2025-06-30,7.0,C
VTLE,2025-06-30,8.0,C
SM,2025-06-30,9.0,C
PR,2025-06-30,10.0,C
CRGY,2025-06-30,11.0,D
CTRA,2025-09-30,1.0,B
EOG,2025-09-30,2.0,B
MTDR,2025-09-30,3.0,B
APA,2025-09-30,4.0,C
FANG,2025-09-30,5.0,C
OVV,2025-09-30,6.0,C
VTLE,2025-09-30,7.0,C
CIVI,2025-09-30,8.0,C
SM,2025-09-30,9.0,C
PR,2025-09-30,10.0,C
CRGY,2025-09-30,11.0,D
EOG,2025-12-31,1.0,B
CTRA,2025-12-31,2.0,B
FANG,2025-12-31,3.0,B
OVV,2025-12-31,4.0,C
APA,2025-12-31,5.0,C
MTDR,2025-12-31,6.0,C
PR,2025-12-31,7.0,C
SM,2025-12-31,8.0,C
CIVI,2025-12-31,9.0,C
CRGY,2025-12-31,10.0,D
