path,file_type,line_count,imports,exports,referenced_by,references,purpose,status,cleanup_action
data/raw/edgar/llm_extract_0001038357_0001038357-18-000015.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0001841666.json,json,90857,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-16-000173.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001509589_0001509589-22-000044.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-17-000005.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001658566_0001658566-23-000092.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-23-000026.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-20-000045.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-17-000013.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-22-000133.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-23-000045.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-17-000199.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-20-000082.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-21-000056.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-20-000051.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-23-000010.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-22-000118.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-19-000159.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-23-000039.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-20-000032.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-25-000147.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-19-000090.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001193125-14-193448.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-16-000041.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-22-000035.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-24-000165.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-19-000006.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-20-000213.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-20-000111.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-18-000133.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-20-000054.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001658566_0001658566-25-000041.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-17-000076.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-19-000012.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001841666_0001784031-22-000021.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-19-000010.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001841666_0001673379-21-000012.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-21-000081.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-16-000287.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-19-000081.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-24-000195.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-19-000046.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-19-000011.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-18-000075.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001841666_0001784031-23-000013.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-23-000092.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-20-000009.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-16-000134.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-25-000109.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-21-000162.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-21-000016.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001841666_0001673379-21-000029.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-20-000140.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-22-000206.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-25-000070.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-24-000053.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-17-000141.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-23-000040.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-18-000018.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-18-000117.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000858470_0000858470-21-000060.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-18-000026.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-17-000065.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001509589_0001509589-23-000017.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-22-000022.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-22-000124.json,json,21,,,,,General component,KEEP,none
