ticker,quarter,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,rank,tier
CPE,2021-06-30,0.22530864197530867,0.33333333333333337,0.5267857142857143,0.6666666666666666,0.7333333333333334,0.638888888888889,0.4444444444444444,0.5555555555555556,0.49063888888888885,7.0,C
OVV,2021-06-30,0.45370370370370366,0.33111111111111113,0.22321428571428573,0.3703703703703704,0.5833333333333334,0.5666666666666667,0.6000000000000001,0.5790123456790124,0.4458055555555555,8.0,C
SM,2021-06-30,0.30246913580246915,0.23809523809523808,0.4166666666666667,0.48148148148148145,0.47222222222222227,0.8333333333333334,0.2833333333333333,0.26790123456790127,0.39871428571428574,9.0,D
EOG,2021-09-30,0.20987654320987656,0.6666666666666666,0.6190476190476192,0.7037037037037037,0.6296296296296297,0.5222222222222223,0.7500000000000001,0.5864197530864198,0.5644444444444445,1.0,B
VTLE,2021-09-30,0.4320987654320988,0.6666666666666666,0.5416666666666667,0.5555555555555555,0.611111111111111,0.6,0.4444444444444444,0.5555555555555556,0.5480555555555555,2.0,C
CPE,2021-09-30,0.478395061728395,0.40476190476190477,0.4791666666666667,0.5555555555555555,0.8777777777777779,0.34444444444444444,0.5555555555555556,0.5555555555555556,0.5259087301587302,3.0,C
OVV,2021-09-30,0.4104938271604939,0.4822222222222222,0.5714285714285714,0.35185185185185186,0.6064814814814814,0.6833333333333333,0.4666666666666667,0.671604938271605,0.5166666666666666,4.0,C
APA,2021-09-30,0.40740740740740744,0.6911111111111111,0.556547619047619,0.5925925925925927,0.5092592592592592,0.37777777777777777,0.5166666666666666,0.42063492063492064,0.5144404761904762,5.0,C
MTDR,2021-09-30,0.4567901234567901,0.47333333333333333,0.431547619047619,0.7407407407407408,0.6018518518518519,0.4111111111111111,0.6,0.3308641975308642,0.5056388888888889,6.0,C
PXD,2021-09-30,0.5401234567901234,0.42857142857142855,0.4523809523809524,0.6666666666666666,0.48888888888888893,0.4444444444444445,0.2777777777777778,0.5555555555555556,0.4857301587301587,7.0,C
FANG,2021-09-30,0.4104938271604939,0.5422222222222222,0.4226190476190476,0.35185185185185186,0.4953703703703703,0.75,0.5,0.39012345679012345,0.4761666666666667,8.0,C
SM,2021-09-30,0.8209876543209877,0.23809523809523808,0.3625,0.48148148148148145,0.25925925925925924,0.8666666666666666,0.33333333333333337,0.26790123456790127,0.4672420634920635,9.0,C
APA,2021-12-31,0.5625,0.6067171717171717,0.5696248196248196,0.638888888888889,0.5069444444444444,0.7666666666666666,0.725,0.3584656084656085,0.5909336219336219,1.0,B
EOG,2021-12-31,0.4791666666666667,0.6343434343434343,0.6246392496392497,0.6111111111111112,0.4791666666666667,0.4708333333333334,0.6714285714285715,0.5013227513227513,0.5590295815295816,2.0,B
CTRA,2021-12-31,0.6805555555555556,0.6542207792207793,0.425,0.513888888888889,0.4083333333333334,0.4833333333333334,0.4928571428571429,0.7552910052910053,0.5563950216450217,3.0,B
CPE,2021-12-31,0.5925925925925926,0.29545454545454547,0.538961038961039,0.8055555555555555,0.5333333333333334,0.4666666666666667,0.4166666666666667,0.5416666666666666,0.5241893939393939,4.0,C
VTLE,2021-12-31,0.3101851851851851,0.6006493506493508,0.4534632034632034,0.5555555555555555,0.45,0.7125,0.5833333333333334,0.5416666666666666,0.5084155844155844,5.0,C
MTDR,2021-12-31,0.2824074074074074,0.46272727272727276,0.6286075036075036,0.5277777777777778,0.9027777777777778,0.39166666666666666,0.4142857142857143,0.43783068783068785,0.4999141414141415,6.0,C
CRGY,2021-12-31,0.6782407407407407,0.6542207792207793,0.5363636363636364,0.5,0.375,0.4083333333333334,0.08333333333333333,0.5416666666666666,0.498224025974026,7.0,C
OVV,2021-12-31,0.4791666666666667,0.5347979797979799,0.19336219336219335,0.8472222222222222,0.3888888888888889,0.5375,0.4714285714285714,0.5489417989417988,0.4921713564213564,8.0,C
CIVI,2021-12-31,0.3101851851851851,0.5243506493506493,0.7458513708513709,0.3194444444444445,0.475,0.4958333333333333,0.5,0.5416666666666666,0.4825717893217894,9.0,C
SM,2021-12-31,0.5509259259259259,0.25595238095238093,0.49318181818181817,0.45833333333333326,0.75,0.375,0.6464285714285715,0.26322751322751325,0.4774383116883117,10.0,C
PXD,2021-12-31,0.4444444444444444,0.42857142857142855,0.31349206349206343,0.4444444444444444,0.7833333333333334,0.6583333333333334,0.25,0.5416666666666666,0.47509126984126987,11.0,C
FANG,2021-12-31,0.2962962962962963,0.5351515151515152,0.3712121212121212,0.27777777777777773,0.4513888888888889,0.7333333333333334,0.3785714285714286,0.3108465608465608,0.4122424242424242,12.0,C
CIVI,2022-03-31,0.574074074074074,0.5584415584415584,0.7474025974025974,0.75,0.4666666666666666,0.5083333333333334,0.5,0.5416666666666666,0.587319264069264,1.0,B
EOG,2022-03-31,0.5023148148148149,0.5885858585858585,0.7444805194805195,0.7777777777777778,0.49999999999999994,0.425,0.6017857142857143,0.41005291005291006,0.5758484848484849,2.0,B
CPE,2022-03-31,0.7314814814814814,0.3474025974025974,0.6282467532467532,0.7222222222222223,0.5666666666666667,0.5541666666666666,0.3333333333333333,0.5416666666666666,0.5638982683982684,3.0,B
MTDR,2022-03-31,0.7662037037037037,0.36848484848484847,0.3659090909090909,0.47222222222222215,0.5972222222222222,0.7583333333333334,0.6839285714285714,0.4775132275132275,0.559952380952381,4.0,B
APA,2022-03-31,0.2245370370370371,0.7292929292929293,0.4331168831168831,0.7222222222222222,0.34722222222222227,0.6625,0.7196428571428571,0.544973544973545,0.5260422077922078,5.0,C
OVV,2022-03-31,0.5023148148148148,0.4731313131313132,0.22987012987012986,0.5833333333333334,0.4791666666666666,0.9041666666666666,0.575,0.5846560846560848,0.5216038961038961,6.0,C
CRGY,2022-03-31,0.4074074074074074,0.512987012987013,0.42857142857142855,0.4444444444444445,0.6916666666666667,0.725,0.34375,0.3333333333333333,0.4834897186147187,7.0,C
PXD,2022-03-31,0.4212962962962963,0.42857142857142855,0.4714285714285714,0.25000000000000006,0.6833333333333333,0.4125,0.75,0.5416666666666666,0.48311904761904756,8.0,C
SM,2022-03-31,0.5601851851851851,0.23809523809523808,0.5931818181818181,0.638888888888889,0.4444444444444445,0.5916666666666666,0.17857142857142855,0.5013227513227513,0.4717359307359307,9.0,C
VTLE,2022-03-31,0.28935185185185186,0.6525974025974026,0.45487012987012987,0.4166666666666667,0.6416666666666666,0.18333333333333332,0.5833333333333334,0.5416666666666666,0.46607142857142864,10.0,C
CTRA,2022-03-31,0.37037037037037046,0.6623376623376623,0.32727272727272727,0.4444444444444444,0.5,0.3708333333333333,0.6178571428571429,0.40608465608465605,0.46058549783549785,11.0,C
FANG,2022-03-31,0.3171296296296296,0.6203030303030304,0.5386363636363637,0.2777777777777778,0.6736111111111112,0.4041666666666667,0.2982142857142857,0.33465608465608465,0.44006168831168824,12.0,C
CTRA,2022-06-30,0.7800925925925927,0.6444805194805195,0.6522727272727273,0.75,0.5416666666666667,0.6458333333333334,0.55,0.4576719576719576,0.644180735930736,1.0,B
APA,2022-06-30,0.6111111111111112,0.6433838383838384,0.451948051948052,0.763888888888889,0.3993055555555556,0.6458333333333334,0.55,0.5886243386243386,0.5819231601731601,2.0,B
EOG,2022-06-30,0.5231481481481481,0.6252525252525253,0.6756493506493505,0.5833333333333334,0.46527777777777785,0.4875,0.6875,0.3822751322751323,0.5602835497835498,3.0,B
VTLE,2022-06-30,0.4791666666666667,0.7045454545454545,0.4915584415584416,0.638888888888889,0.6,0.3833333333333333,0.5833333333333334,0.5416666666666666,0.5548333333333333,4.0,B
CIVI,2022-06-30,0.6180555555555556,0.22889610389610388,0.5055194805194805,0.625,0.6,0.725,0.5,0.5416666666666666,0.5346071428571428,5.0,C
FANG,2022-06-30,0.6111111111111112,0.5516161616161616,0.4396103896103897,0.763888888888889,0.4270833333333333,0.5458333333333334,0.475,0.29100529100529093,0.525478354978355,6.0,C
CRGY,2022-06-30,0.4606481481481482,0.564935064935065,0.42045454545454547,0.5555555555555555,0.6583333333333334,0.6416666666666666,0.3625,0.5208333333333333,0.5194788961038961,7.0,C
MTDR,2022-06-30,0.5185185185185186,0.42454545454545456,0.6925324675324676,0.25000000000000006,0.8055555555555555,0.3375,0.475,0.6005291005291006,0.5159339826839827,8.0,C
CPE,2022-06-30,0.4166666666666667,0.5032467532467532,0.7175324675324675,0.5277777777777778,0.225,0.675,0.3333333333333333,0.5416666666666666,0.4908582251082252,9.0,C
PXD,2022-06-30,0.3263888888888889,0.4805194805194805,0.15000000000000005,0.3055555555555555,0.6583333333333334,0.5583333333333333,0.8333333333333334,0.5416666666666666,0.45541125541125543,10.0,C
OVV,2022-06-30,0.1574074074074074,0.56,0.22987012987012986,0.18055555555555555,0.5833333333333334,0.55,0.6375,0.35449735449735453,0.3868365800865801,11.0,D
SM,2022-06-30,0.1643518518518519,0.2202380952380952,0.41818181818181815,0.5555555555555557,0.5833333333333334,0.30416666666666664,0.2875,0.5013227513227513,0.3621168831168831,12.0,D
EOG,2022-09-30,0.5,0.6583416583416583,0.6805694305694306,0.7692307692307692,0.3379120879120879,0.7269230769230769,0.8222222222222223,0.5008309591642924,0.6168774281274281,1.0,B
FANG,2022-09-30,0.7777777777777778,0.5286491286491286,0.6072261072261071,0.7692307692307693,0.3598901098901099,0.6153846153846153,0.4243589743589743,0.378917378917379,0.5778804528804529,2.0,B
CTRA,2022-09-30,0.4658119658119658,0.6513486513486513,0.610897435897436,0.6153846153846154,0.6230769230769232,0.5692307692307692,0.26752136752136757,0.6783000949667616,0.5604116994116994,3.0,B
MTDR,2022-09-30,0.4252136752136752,0.44111444111444115,0.6616716616716617,0.6153846153846154,0.43131868131868134,0.873076923076923,0.4735042735042736,0.7014482431149098,0.5587325174825175,4.0,B
VTLE,2022-09-30,0.32478632478632474,0.7072927072927072,0.48239260739260736,0.7307692307692308,0.4615384615384615,0.48461538461538467,0.5384615384615384,0.5384615384615384,0.5259365634365635,5.0,C
APA,2022-09-30,0.5683760683760684,0.6237318237318238,0.47127872127872134,0.5897435897435898,0.5027472527472527,0.33076923076923076,0.5538461538461538,0.3002136752136752,0.5084261571761571,6.0,C
PR,2022-09-30,0.4273504273504274,0.43889443889443897,0.39826839826839827,0.7564102564102564,0.6217948717948718,0.5384615384615385,0.5965811965811966,0.1999050332383666,0.49539516039516046,7.0,C
CPE,2022-09-30,0.5576923076923077,0.5004995004995004,0.4189560439560439,0.7948717948717948,0.4076923076923077,0.4461538461538462,0.19230769230769232,0.5384615384615384,0.4907287712287712,8.0,C
OVV,2022-09-30,0.5363247863247863,0.5538461538461539,0.32496669996669997,0.20512820512820515,0.6849816849816849,0.5923076923076923,0.5991452991452991,0.4267568850902184,0.48947732822732815,9.0,C
CRGY,2022-09-30,0.3696581196581197,0.5704295704295704,0.51494338994339,0.2435897435897436,0.7423076923076923,0.43076923076923085,0.4931623931623933,0.4358974358974359,0.47412659562659554,10.0,C
PXD,2022-09-30,0.3696581196581197,0.4805194805194805,0.46653346653346656,0.2435897435897436,0.7192307692307692,0.45384615384615384,0.3076923076923077,0.5384615384615384,0.44408491508491515,11.0,C
